date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:13	132572/132572	U-----	200	untouched ('OK')	text/html	date:Wed,%2009%20Sep%202015%2008:12:24%20GMT	http://www.javaworld.com/article/2077817/java-se/understanding-jpa-part-1-the-object-oriented-paradigm-of-data-persistence.html	C:/Users/Martin/Documents/GitHub/Bachelor-Thesis/Quellen/www.javaworld.com/article/2077817/java-se/understanding-jpa-part-1-the-object-oriented-paradigm-of-data-persistence.html	(from )
10:50:13	0/-1	---M--	302	error ('Found')	text/html		http://hibernate.org/orm/	C:/Users/Martin/Documents/GitHub/Bachelor-Thesis/Quellen/hibernate.org/orm/index.html	(from )
10:50:13	13442/13442	U-----	200	untouched ('OK')	text/html	date:Mon,%2007%20Sep%202015%2021:56:01%20GMT	http://hibernate.org/search/	C:/Users/Martin/Documents/GitHub/Bachelor-Thesis/Quellen/hibernate.org/search/index.html	(from )
10:50:14	23130/23130	U-----	200	untouched ('OK')	text/html	date:Mon,%2007%20Sep%202015%2021:56:01%20GMT	http://hibernate.org/search/faq/	C:/Users/Martin/Documents/GitHub/Bachelor-Thesis/Quellen/hibernate.org/search/faq/index.html	(from )
10:50:14	37268/37268	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2009%20Sep%202015%2008:50:17%20GMT	https://jcp.org/en/jsr/detail?id=220	C:/Users/Martin/Documents/GitHub/Bachelor-Thesis/Quellen/jcp.org/en/jsr/detail6bfb.html	(from )
10:50:14	18585/18585	U--M-Z	200	updated ('OK')	text/html	etag:%224899-51f4c2a1b786d-gzip%22	https://lucene.apache.org/core/	C:/Users/Martin/Documents/GitHub/Bachelor-Thesis/Quellen/lucene.apache.org/core/index.html	(from )
10:50:14	105538/105538	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2009%20Sep%202015%2008:50:18%20GMT	https://github.com/hibernate/hibernate-search	C:/Users/Martin/Documents/GitHub/Bachelor-Thesis/Quellen/github.com/hibernate/hibernate-search.html	(from )
10:50:15	2055/2055	U--M-Z	200	updated ('OK')	text/html	etag:%22807-35376726b1a40-gzip%22	http://dept-info.labri.fr/~strandh/Teaching/PFS/Common/Strandh-Tutorial/top-down-programming.html	C:/Users/Martin/Documents/GitHub/Bachelor-Thesis/Quellen/dept-info.labri.fr/_strandh/Teaching/PFS/Common/Strandh-Tutorial/top-down-programming.html	(from )
10:50:15	23692/23692	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Sep%202015%2008:50:19%20GMT	https://en.wikibooks.org/wiki/Java_Persistence/What_is_JPA/%3F	C:/Users/Martin/Documents/GitHub/Bachelor-Thesis/Quellen/en.wikibooks.org/wiki/Java_Persistence/What_is_JPA/_.5.delayed	(from )
10:50:15	3002/3002	U--M-Z	200	updated ('OK')	text/html	etag:%22bba-35376725bd800-gzip%22	http://dept-info.labri.fr/~strandh/Teaching/PFS/Common/Strandh-Tutorial/bottom-up-programming.html	C:/Users/Martin/Documents/GitHub/Bachelor-Thesis/Quellen/dept-info.labri.fr/_strandh/Teaching/PFS/Common/Strandh-Tutorial/bottom-up-programming.html	(from )
